Time [s];20;20;20;50;50;50;100;100;100;300;300;300;600;600;600;;20;20;20;50;50;50;100;100;100;300;300;300;600;600;600;D5;E1;E2;E3
Time [s];20;20;20;50;50;50;100;100;100;300;300;300;600;600;600;;20;20;20;50;50;50;100;100;100;300;300;300;600;600;600;;;;
1800.438;0.6483;0.6633;0.6619;0.6598;0.628;0.649;0.6369;0.6199;0.6357;0.5773;0.5887;0.5861;0.5549;0.5807;0.5658;;0.7481;0.7468;0.7207;0.6974;0.6678;0.6613;0.6677;0.6285;0.7017;0.6965;0.696;0.673;0.6856;0.6876;0.7119;;0.2016;0.204;0.2013
1860.452;0.6463;0.6611;0.6594;0.6569;0.6254;0.6463;0.6331;0.6166;0.6321;0.572;0.5834;0.5804;0.5481;0.5732;0.5589;;0.7462;0.7451;0.72;0.6965;0.6661;0.6599;0.6663;0.6266;0.6998;0.6946;0.6939;0.6713;0.6837;0.6859;0.7102;;0.2019;0.204;0.2015
1920.457;0.6452;0.6599;0.6577;0.655;0.6233;0.6443;0.63;0.6136;0.6294;0.5668;0.5787;0.5752;0.5421;0.5678;0.5526;;0.7452;0.7436;0.7182;0.6954;0.6645;0.6582;0.6645;0.6247;0.698;0.6929;0.6923;0.6688;0.6821;0.6831;0.7083;;0.2019;0.2041;0.2016
1980.467;0.6431;0.6578;0.6557;0.6522;0.6203;0.6414;0.6261;0.6104;0.6259;0.5615;0.5734;0.5698;0.5352;0.5619;0.5473;;0.7437;0.7419;0.7164;0.6936;0.6627;0.6567;0.6625;0.6227;0.6965;0.6914;0.6905;0.6674;0.6804;0.6823;0.7069;;0.202;0.2042;0.2021
2040.472;0.6414;0.6556;0.6534;0.6496;0.6182;0.6392;0.6228;0.6072;0.6225;0.5563;0.5682;0.5643;0.5289;0.5568;0.5415;;0.7418;0.7399;0.7153;0.6925;0.6619;0.6556;0.6616;0.622;0.6942;0.6889;0.6879;0.6648;0.6786;0.6805;0.7049;;0.2024;0.2048;0.2022
2100.485;0.6396;0.6538;0.6512;0.6468;0.615;0.6368;0.6192;0.6035;0.62;0.5514;0.5638;0.5594;0.5227;0.5503;0.535;;0.7405;0.7379;0.7133;0.6907;0.66;0.6537;0.6593;0.6189;0.692;0.6872;0.6859;0.6631;0.677;0.6772;0.7029;;0.2029;0.2059;0.2034
2160.502;0.638;0.6522;0.6494;0.6444;0.6124;0.6342;0.6156;0.6007;0.6167;0.5462;0.5588;0.5539;0.516;0.5439;0.5297;;0.739;0.736;0.7126;0.6893;0.658;0.6519;0.6571;0.6173;0.6906;0.6861;0.6845;0.6614;0.675;0.6769;0.7015;;0.2031;0.2064;0.2033
2220.518;0.6361;0.6503;0.6473;0.6418;0.6099;0.6317;0.6125;0.5971;0.6133;0.5412;0.5539;0.5491;0.5099;0.5378;0.5239;;0.7375;0.7347;0.7116;0.6876;0.6565;0.6497;0.6554;0.6151;0.6886;0.6837;0.6822;0.6594;0.6734;0.6746;0.6999;;0.2029;0.2068;0.2041
2280.534;0.6344;0.6486;0.6456;0.6395;0.607;0.6292;0.6089;0.5936;0.6098;0.5361;0.5485;0.5433;0.5024;0.5318;0.518;;0.7358;0.7327;0.7102;0.6869;0.6552;0.6489;0.6541;0.6134;0.6873;0.6826;0.6805;0.6573;0.6716;0.673;0.6975;;0.2031;0.2072;0.2048
2340.544;0.6326;0.6465;0.6435;0.6371;0.6044;0.6265;0.6054;0.5902;0.6063;0.5309;0.5432;0.5381;0.4958;0.5262;0.5125;;0.7341;0.7311;0.7086;0.6852;0.6539;0.6475;0.6531;0.6122;0.6855;0.6807;0.6786;0.656;0.6706;0.6713;0.6961;;0.2033;0.2076;0.2057
